buckets, GOLDEN_RATIO_32, 0x80000000, 0x12345678, 0x54061094
243,10,0,0,11
244,10,0,0,9
245,9,0,44,10
246,10,0,0,10
247,10,0,0,9
248,9,0,0,10
249,10,0,0,10
250,10,0,44,10
251,10,0,0,10
252,9,0,0,9
253,10,0,0,10
254,11,0,44,10
255,8,0,0,9
256,11,0,0,11
257,9,0,0,10
258,10,0,0,9
259,10,0,44,11
260,10,0,0,9
261,9,0,0,10
262,10,0,0,11
263,11,0,45,9
264,10,0,0,9
265,9,0,0,9
266,10,0,0,10
267,10,0,0,11
268,9,0,45,9
269,10,0,0,10
270,10,0,0,9
271,9,0,0,9
272,10,0,0,11
273,10,0,45,11
274,9,0,0,9
275,10,0,0,11
276,10,0,0,8
277,10,0,45,10
278,9,0,0,11
279,10,0,0,9
280,9,0,0,10
281,11,0,0,10
282,9,0,45,8
283,10,0,0,11
284,10,0,0,10
285,11,0,0,10
286,9,0,45,10
287,10,0,0,9
288,10,0,0,10
289,10,0,0,10
290,9,0,0,10
291,10,0,45,11
292,10,0,0,8
293,9,0,0,10
294,10,0,0,10
295,10,0,44,9
296,9,0,0,11
297,10,0,0,10
298,11,0,0,8
299,9,0,0,11
300,10,0,44,9
301,10,0,0,10
302,10,0,0,11
303,9,0,0,9
304,10,0,44,10
305,10,0,0,10
306,9,0,0,9
307,10,0,0,11
308,11,0,0,10
309,8,0,44,9
310,11,0,0,11
311,10,0,0,8
312,9,0,0,10
313,10,0,0,11
314,9,0,44,9
315,11,0,0,10
316,9,0,0,9
317,10,0,0,9
318,10,0,44,11
319,9,0,0,9
320,11,0,0,11
321,10,0,0,10
322,9,0,0,9
323,10,0,44,10
324,10,0,0,10
325,10,0,0,10
326,9,0,0,11
327,10,0,44,8
328,10,0,0,10
329,9,0,0,10
330,10,0,0,9
331,10,0,0,11
332,9,0,44,10
333,11,0,0,8
334,9,0,0,11
335,10,0,0,9
336,9,0,45,11
337,10,0,0,11
338,11,0,0,9
339,8,0,0,9
340,11,0,0,10
341,9,0,45,9
342,10,0,0,11
343,10,0,0,9
344,9,0,0,10
345,10,0,45,9
346,10,0,0,9
347,9,0,0,11
348,11,0,0,10
349,9,0,0,9
350,10,0,45,11
351,9,0,0,8
352,10,0,0,10
353,10,0,0,11
354,9,0,45,9
355,11,0,0,10
356,10,0,0,10
357,9,0,0,9
358,10,0,0,10
359,10,0,45,10
360,10,0,0,10
361,9,0,0,10
362,10,0,0,9
363,10,0,0,10
364,9,0,45,10
365,11,0,0,9
366,9,0,0,11
367,10,0,0,9
368,10,0,44,9
369,10,0,0,10
370,9,0,0,9
371,10,0,0,11
372,10,0,0,10
373,10,0,44,9
374,9,0,0,10
375,10,0,0,9
376,10,0,0,10
377,10,0,44,11
378,10,0,0,9
379,10,0,0,10
380,9,0,0,9
381,10,0,0,9
382,10,0,44,11
383,9,0,0,10
384,10,0,0,9
385,10,0,0,11
386,10,0,44,8
387,9,0,0,10
388,10,0,0,11
389,10,0,0,9
390,10,0,0,10
391,10,0,44,10
392,11,0,0,8
393,8,0,0,11
394,11,0,0,10
395,10,0,44,10
396,9,0,0,9
397,10,0,0,9
398,9,0,0,10
399,11,0,0,10
400,9,0,44,10
401,10,0,0,11
402,10,0,0,8
403,9,0,0,10
404,10,0,0,10
405,10,0,44,9
406,9,0,0,11
407,10,0,0,10
408,10,0,0,8
409,10,0,45,11
410,9,0,0,9
411,10,0,0,10
412,11,0,0,11
413,9,0,0,9
414,10,0,45,9
415,9,0,0,10
416,10,0,0,9
417,11,0,0,11
418,8,0,45,10
419,11,0,0,9
420,9,0,0,10
421,10,0,0,8
422,10,0,0,11
423,9,0,45,10
424,11,0,0,9
425,9,0,0,11
426,10,0,0,9
427,10,0,45,9
428,9,0,0,11
429,10,0,0,9
430,10,0,0,10
431,9,0,0,10
432,10,0,45,9
433,10,0,0,10
434,10,0,0,10
435,9,0,0,10
436,10,0,45,11
437,10,0,0,8
438,9,0,0,10
439,10,0,0,10
440,10,0,0,9
441,9,0,44,11
442,10,0,0,10
443,10,0,0,8
444,10,0,0,11
445,9,0,0,9
446,10,0,44,10
447,11,0,0,10
448,9,0,0,9
449,11,0,0,10
450,9,0,44,9
451,10,0,0,10
452,10,0,0,11
453,10,0,0,9
454,9,0,0,10
455,10,0,44,9
456,10,0,0,9
457,10,0,0,11
458,9,0,0,10
459,10,0,44,9
460,10,0,0,11
461,9,0,0,8
462,10,0,0,10
463,10,0,0,11
464,9,0,44,9
465,10,0,0,10
466,10,0,0,10
467,9,0,0,9
468,10,0,44,10
469,11,0,0,10
470,10,0,0,10
471,9,0,0,10
472,10,0,0,9
473,10,0,44,10
474,10,0,0,9
475,9,0,0,10
476,11,0,0,11
477,8,0,44,8
478,11,0,0,10
479,9,0,0,10
480,10,0,0,9
481,10,0,0,11
482,10,0,45,10
483,10,0,0,9
484,9,0,0,10
485,10,0,0,9
486,9,0,45,10
487,10,0,0,11
488,10,0,0,9
489,9,0,0,10
490,10,0,0,9
491,10,0,45,9
492,9,0,0,11
493,10,0,0,10
494,10,0,0,9
495,10,0,0,11
496,9,0,45,8
497,10,0,0,10
498,10,0,0,11
499,9,0,0,9
500,10,0,45,10
501,11,0,0,9
502,8,0,0,9
503,11,0,0,11
504,10,0,0,9
505,10,0,45,11
506,10,0,0,9
507,9,0,0,9
508,11,0,0,10
509,9,0,45,10
510,10,0,0,10
511,10,0,0,11
512,9,5000,0,8
513,10,0,0,10
514,10,0,44,10
515,9,0,0,9
516,10,0,0,11
517,10,0,0,10
518,10,0,44,8
519,9,0,0,11
520,10,0,0,9
521,10,0,0,10
522,9,0,0,11
523,10,0,44,9
524,10,0,0,9
525,9,0,0,10
526,11,0,0,9
527,10,0,44,11
528,10,0,0,9
529,9,0,0,10
530,10,0,0,10
531,11,0,0,9
532,8,0,44,11
533,11,0,0,10
534,9,0,0,9
535,10,0,0,11
536,10,0,0,9
537,10,0,44,9
538,9,0,0,11
539,10,0,0,9
540,11,0,0,10
541,10,0,44,10
542,9,0,0,9
543,10,0,0,10
544,10,0,0,10
545,9,0,0,10
546,10,0,44,11
547,10,0,0,9
548,9,0,0,10
549,10,0,0,10
550,9,0,44,9
551,10,0,0,11
552,10,0,0,9
553,10,0,0,9
554,9,0,0,10
555,10,0,45,9
556,10,0,0,11
557,9,0,0,10
558,11,0,0,9
559,9,0,45,10
560,10,0,0,9
561,10,0,0,10
562,11,0,0,12
563,9,0,0,9
564,10,0,45,10
565,10,0,0,9
566,10,0,0,9
567,9,0,0,11
568,10,0,45,10
569,10,0,0,9
570,9,0,0,11
571,10,0,0,8
572,10,0,0,10
573,9,0,45,11
574,10,0,0,9
575,10,0,0,10
576,9,0,0,10
577,10,0,45,9
578,10,0,0,11
579,10,0,0,9
580,9,0,0,11
581,10,0,0,9
582,10,0,45,9
583,9,0,0,11
584,10,0,0,9
585,11,0,0,10
586,8,0,0,11
587,11,0,44,8
588,10,0,0,10
589,9,0,0,10
590,10,0,0,9
591,9,0,44,11
592,11,0,0,10
593,9,0,0,9
594,10,0,0,11
595,10,0,0,9
596,9,0,44,10
597,11,0,0,11
598,10,0,0,9
599,9,0,0,10
600,10,0,44,9
601,10,0,0,9
602,10,0,0,11
603,9,0,0,10
604,10,0,0,9
605,10,0,44,10
606,9,0,0,8
607,10,0,0,11
608,10,0,0,10
609,9,0,44,10
610,11,0,0,11
611,9,0,0,9
612,10,0,0,9
613,9,0,0,11
614,10,0,44,9
615,11,0,0,11
616,8,0,0,9
617,11,0,0,9
618,10,0,44,10
619,10,0,0,10
620,10,0,0,10
621,9,0,0,11
622,10,0,0,8
623,10,0,44,10
624,9,0,0,10
625,10,0,0,10
626,10,0,0,11
627,10,0,0,10
628,9,0,45,8
629,10,0,0,11
630,10,0,0,9
631,9,0,0,10
632,10,0,45,10
633,10,0,0,9
634,9,0,0,10
635,10,0,0,9
636,10,0,0,10
637,10,0,45,11
638,9,0,0,9
639,10,0,0,10
640,10,0,0,10
641,9,0,45,9
642,11,0,0,11
643,9,0,0,10
644,10,0,0,9
645,10,0,0,11
646,10,0,45,9
647,9,0,0,9
648,10,0,0,11
649,10,0,0,9
650,10,0,45,10
651,9,0,0,10
652,10,0,0,9
653,10,0,0,10
654,10,0,0,10
655,10,0,45,10
656,10,0,0,10
657,9,0,0,10
658,10,0,0,10
659,10,0,44,9
660,9,0,0,10
661,10,0,0,11
662,10,0,0,9
663,10,0,0,9
664,9,0,44,10
665,10,0,0,9
666,10,0,0,11
667,10,0,0,10
668,9,0,0,9
669,11,0,44,10
670,8,0,0,9
671,11,0,0,10
672,10,0,0,12
673,9,0,44,9
674,10,0,0,10
675,9,0,0,9
676,11,0,0,9
677,9,0,0,11
678,10,0,44,10
679,10,0,0,9
680,9,0,0,11
681,10,0,0,8
682,10,0,44,10
683,9,0,0,10
684,10,0,0,10
685,9,0,0,10
686,11,0,0,9
687,9,0,44,9
688,10,0,0,11
689,10,0,0,9
690,10,0,0,11
691,10,0,44,9
692,9,0,0,9
693,10,0,0,11
694,11,0,0,9
695,8,0,0,10
696,11,0,44,11
697,9,0,0,8
698,10,0,0,10
699,10,0,0,10
700,9,0,45,9
701,11,0,0,11
702,9,0,0,10
703,10,0,0,8
704,10,0,0,11
705,9,0,45,9
706,10,0,0,10
707,10,0,0,11
708,9,0,0,9
709,10,0,45,10
710,10,0,0,8
711,11,0,0,10
712,9,0,0,11
713,10,0,0,9
714,10,0,45,10
715,9,0,0,10
716,10,0,0,8
717,10,0,0,11
718,9,0,0,10
719,10,0,45,9
720,10,0,0,11
721,10,0,0,9
722,9,0,0,9
723,10,0,45,11
724,11,0,0,9
725,8,0,0,11
726,11,0,0,9
727,9,0,0,9
728,10,0,45,10
729,10,0,0,10
730,10,0,0,10
731,9,0,0,11
732,10,0,44,8
733,10,0,0,10
734,10,0,0,10
735,9,0,0,9
736,10,0,0,11
737,10,0,44,9
738,9,0,0,9
739,10,0,0,10
740,10,0,0,9
741,9,0,44,11
742,10,0,0,10
743,10,0,0,9
744,9,0,0,10
745,10,0,0,9
746,11,0,44,10
747,10,0,0,11
748,9,0,0,9
749,10,0,0,10
750,10,0,44,9
751,10,0,0,9
752,9,0,0,11
753,11,0,0,10
754,8,0,0,9
755,11,0,44,11
756,9,0,0,9
757,10,0,0,9
758,10,0,0,11
759,10,0,0,9
760,9,0,44,10
761,10,0,0,10
762,10,0,0,9
763,9,0,0,10
764,10,0,44,9
765,10,0,0,11
766,9,0,0,9
767,10,0,0,9
768,11,0,0,11
769,9,0,44,9
770,10,0,0,10
771,10,0,0,11
772,10,0,0,9
773,9,0,45,9
774,10,0,0,10
775,10,0,0,9
776,9,0,0,11
777,10,0,0,10
778,11,0,45,9
779,8,0,0,10
780,11,0,0,9
781,10,0,0,10
782,10,0,45,11
783,10,0,0,9
784,9,0,0,10
785,11,0,0,9
786,9,0,0,9
787,10,0,45,11
788,10,0,0,10
789,9,0,0,9
790,10,0,0,10
791,10,0,45,8
792,9,0,0,11
793,10,0,0,10
794,10,0,0,10
795,10,0,0,10
796,9,0,45,9
797,10,0,0,9
798,10,0,0,11
799,9,0,0,9
800,10,0,45,11
801,10,0,0,9
802,9,0,0,9
803,11,0,0,11
804,10,0,0,9
805,10,0,44,10
806,9,0,0,11
807,10,0,0,8
808,11,0,0,10
809,8,0,0,10
810,11,0,44,9
811,9,0,0,11
812,10,0,0,10
813,10,0,0,8
814,10,0,44,10
815,9,0,0,9
816,10,0,0,11
817,10,0,0,10
818,10,0,0,9
819,9,0,44,11
820,10,0,0,8
821,10,0,0,10
822,9,0,0,11
823,10,0,44,9
824,9,0,0,10
825,10,0,0,10
826,10,0,0,8
827,9,0,0,11
828,10,0,44,10
829,10,0,0,9
830,10,0,0,11
831,9,0,0,9
832,10,0,44,9
833,10,0,0,11
834,9,0,0,9
835,11,0,0,11
836,9,0,0,9
837,10,0,44,9
838,10,0,0,10
839,11,0,0,10
840,9,0,0,10
841,10,0,44,10
842,10,0,0,8
843,10,0,0,11
844,9,0,0,9
845,10,0,0,10
846,10,0,45,11
847,9,0,0,9
848,10,0,0,9
849,10,0,0,10
850,9,0,0,9
851,10,0,45,11
852,10,0,0,10
853,9,0,0,9
854,10,0,0,10
855,10,0,45,9
856,10,0,0,10
857,9,0,0,11
858,10,0,0,9
859,10,0,0,10
860,10,0,45,9
861,10,0,0,9
862,11,0,0,11
863,8,0,0,10
864,11,0,45,9
865,10,0,0,11
866,9,0,0,9
867,10,0,0,10
868,9,0,0,10
869,11,0,45,10
870,9,0,0,10
871,10,0,0,9
872,10,0,0,10
873,9,0,45,10
874,10,0,0,9
875,10,0,0,11
876,9,0,0,9
877,10,0,0,9
878,10,0,44,11
879,10,0,0,9
880,9,0,0,10
881,10,0,0,11
882,10,0,44,9
883,9,0,0,10
884,10,0,0,10
885,10,0,0,9
886,9,0,0,11
887,11,0,44,10
888,9,0,0,9
889,10,0,0,10
890,9,0,0,9
891,10,0,0,10
892,11,0,44,11
893,8,0,0,9
894,11,0,0,10
895,9,0,0,8
896,11,0,44,10
897,10,0,0,11
898,9,0,0,10
899,10,0,0,10
900,10,0,0,10
901,9,0,44,8
902,10,0,0,11
903,10,0,0,10
904,10,0,0,10
905,9,0,44,10
906,10,0,0,9
907,10,0,0,9
908,9,0,0,11
909,10,0,0,9
910,10,0,44,11
911,9,0,0,9
912,10,0,0,9
913,10,0,0,11
914,10,0,44,10
915,9,0,0,10
916,10,0,0,11
917,11,0,0,8
918,9,0,0,10
919,11,0,45,9
920,9,0,0,10
921,10,0,0,11
922,10,0,0,9
923,10,0,45,9
924,9,0,0,10
925,10,0,0,9
926,10,0,0,11
927,10,0,0,10
928,9,0,45,9
929,10,0,0,11
930,10,0,0,9
931,10,0,0,10
932,10,0,45,11
933,10,0,0,9
934,9,0,0,10
935,10,0,0,10
936,10,0,0,8
937,9,0,45,11
938,10,0,0,10
939,10,0,0,9
940,10,0,0,11
941,9,0,0,9
942,10,0,45,9
943,10,0,0,11
944,10,0,0,9
945,9,0,0,11
946,11,0,45,9
947,8,0,0,10
948,11,0,0,10
949,10,0,0,9
950,9,0,0,11
951,10,0,44,10
952,10,0,0,8
953,11,0,0,11
954,9,0,0,9
955,10,0,44,10
956,10,0,0,11
957,9,0,0,9
958,10,0,0,9
959,9,0,0,10
960,10,0,44,9
961,10,0,0,12
962,9,0,0,10
963,10,0,0,9
964,10,0,44,10
965,10,0,0,9
966,9,0,0,10
967,10,0,0,11
968,10,0,0,9
969,9,0,44,10
970,10,0,0,9
971,11,0,0,9
972,8,0,0,11
973,11,0,44,9
974,9,0,0,10
975,10,0,0,10
976,10,0,0,9
977,9,0,0,11
978,11,0,44,10
979,9,0,0,10
980,10,0,0,10
981,10,0,0,9
982,9,0,0,10
983,10,0,44,10
984,10,0,0,9
985,9,0,0,11
986,10,0,0,9
987,10,0,44,9
988,11,0,0,11
989,9,0,0,9
990,10,0,0,10
991,10,0,0,11
992,9,0,45,9
993,10,0,0,10
994,10,0,0,10
995,9,0,0,9
996,10,0,45,11
997,10,0,0,10
998,10,0,0,9
999,9,0,0,9
1000,10,0,0,9
1001,11,0,45,11
1002,8,0,0,10
1003,11,0,0,9
1004,9,0,0,11
1005,10,0,45,8
1006,10,0,0,10
1007,10,0,0,11
1008,9,0,0,10
1009,10,0,0,10
1010,11,0,45,10
1011,10,0,0,8
1012,9,0,0,11
1013,10,0,0,10
1014,10,0,45,10
1015,9,0,0,10
1016,10,0,0,9
1017,10,0,0,9
1018,9,0,0,11
1019,10,0,45,9
1020,10,0,0,11
1021,9,0,0,9
1022,10,0,0,9
1023,10,0,44,10
